# Ubmax_nK Ubmax_SEU Critical_Omega_R
8.3800 79.3987 2.5900
8.4200 79.7777 2.5900
8.4600 80.1567 2.5900
8.5000 80.5357 2.5900
8.5400 80.9147 2.5900
8.5800 81.2937 2.5900
8.6200 81.6727 2.5900
8.6600 82.0517 2.5900
8.7000 82.4307 2.5900
8.7400 82.8096 2.5900
8.7800 83.1886 2.5900
8.8200 83.5676 2.5900
8.8600 83.9466 2.5900
8.9000 84.3256 2.5900
8.9400 84.7046 2.5900
8.9800 85.0836 2.5900
9.0200 85.4626 2.5900
9.0600 85.8416 2.5900
9.1000 86.2206 2.5900
9.1400 86.5996 2.5900
9.1800 86.9785 2.5900
9.2200 87.3575 2.5900
9.2600 87.7365 2.5900
9.3000 88.1155 2.5900
9.3400 88.4945 2.5900
9.3800 88.8735 2.5900
9.4200 89.2525 2.5900
9.4600 89.6315 2.5900
9.5000 90.0105 2.5900
9.5400 90.3895 2.5900
9.5800 90.7685 2.5900
9.6200 91.1475 2.5900
9.6600 91.5264 2.5900
9.7000 91.9054 2.5900
9.7400 92.2844 2.5900
9.7800 92.6634 2.5900
9.8200 93.0424 2.5900
9.8600 93.4214 2.5900
9.9000 93.8004 2.5900
9.9400 94.1794 2.5900
9.9800 94.5584 2.5900
10.0200 94.9374 2.5900
10.0600 95.3164 2.5900
10.1000 95.6954 2.5900
10.1400 96.0743 2.5900
10.1800 96.4533 2.5900
10.2200 96.8323 2.5900
10.2600 97.2113 2.5900
10.3000 97.5903 2.5900
10.3400 97.9693 2.5900
10.3800 98.3483 2.5900
10.4200 98.7273 2.5900
10.4600 99.1063 2.5900
10.5000 99.4853 2.5900
10.5400 99.8643 2.5900
10.5800 100.2433 2.5900
10.6200 100.6222 2.5900
10.6600 101.0012 2.5900
10.7000 101.3802 2.5900
10.7400 101.7592 2.5900
10.7800 102.1382 2.5900
10.8200 102.5172 2.5900
10.8600 102.8962 2.5900
10.9000 103.2752 2.5900
10.9400 103.6542 2.5900
10.9800 104.0332 2.5900
11.0200 104.4122 2.5900
11.0600 104.7911 2.5900
11.1000 105.1701 2.5900
11.1400 105.5491 2.5900
11.1800 105.9281 2.5900
11.2200 106.3071 2.5900
11.2600 106.6861 2.5200
11.3000 107.0651 2.5200
11.3400 107.4441 2.5200
11.3800 107.8231 2.5200
11.4200 108.2021 2.5200
11.4600 108.5811 2.5200
11.5000 108.9601 2.5200
11.5400 109.3390 2.5200
11.5800 109.7180 2.5200
11.6200 110.0970 2.5200
11.6600 110.4760 2.5200
11.7000 110.8550 2.5200
11.7400 111.2340 2.5200
11.7800 111.6130 2.5200
11.8200 111.9920 2.5200
