# Ubmax_nK Ubmax_SEU Critical_Omega_R
36.8200 348.8617 0.4300
36.8600 349.2407 0.4300
36.9000 349.6197 0.4300
36.9400 349.9986 0.4300
36.9800 350.3776 0.4300
37.0200 350.7566 0.4200
37.0600 351.1356 0.4200
37.1000 351.5146 0.4200
37.1400 351.8936 0.4200
37.1800 352.2726 0.4200
37.2200 352.6516 0.4200
37.2600 353.0306 0.4200
37.3000 353.4096 0.4200
37.3400 353.7886 0.4200
37.3800 354.1676 0.4200
37.4200 354.5465 0.4200
37.4600 354.9255 0.4200
37.5000 355.3045 0.4200
37.5400 355.6835 0.4200
37.5800 356.0625 0.4100
37.6200 356.4415 0.4100
37.6600 356.8205 0.4100
37.7000 357.1995 0.4100
37.7400 357.5785 0.4100
37.7800 357.9575 0.4100
37.8200 358.3365 0.4100
37.8600 358.7154 0.4100
37.9000 359.0944 0.4100
37.9400 359.4734 0.4100
37.9800 359.8524 0.4100
38.0200 360.2314 0.4100
38.0600 360.6104 0.4000
38.1000 360.9894 0.4000
38.1400 361.3684 0.4000
38.1800 361.7474 0.4000
38.2200 362.1264 0.4000
38.2600 362.5054 0.4000
38.3000 362.8844 0.4000
38.3400 363.2633 0.4000
38.3800 363.6423 0.4000
38.4200 364.0213 0.4000
38.4600 364.4003 0.3900
38.5000 364.7793 0.3900
38.5400 365.1583 0.3900
38.5800 365.5373 0.3900
38.6200 365.9163 0.3900
38.6600 366.2953 0.3900
38.7000 366.6743 0.3900
38.7400 367.0533 0.3900
38.7800 367.4323 0.3900
38.8200 367.8112 0.3900
38.8600 368.1902 0.3800
38.9000 368.5692 0.3800
38.9400 368.9482 0.3800
38.9800 369.3272 0.3800
39.0200 369.7062 0.3800
39.0600 370.0852 0.3800
39.1000 370.4642 0.3800
39.1400 370.8432 0.3800
39.1800 371.2222 0.3800
39.2200 371.6012 0.3800
39.2600 371.9802 0.3800
39.3000 372.3591 0.3800
39.3400 372.7381 0.3800
39.3800 373.1171 0.3800
39.4200 373.4961 0.3700
39.4600 373.8751 0.3700
39.5000 374.2541 0.3700
39.5400 374.6331 0.3700
39.5800 375.0121 0.3700
39.6200 375.3911 0.3700
39.6600 375.7701 0.3700
39.7000 376.1491 0.3700
39.7400 376.5280 0.3700
39.7800 376.9070 0.3600
39.8200 377.2860 0.3600
39.8600 377.6650 0.3600
39.9000 378.0440 0.3600
39.9400 378.4230 0.3600
39.9800 378.8020 0.3600
40.0200 379.1810 0.3500
40.0600 379.5600 0.3500
40.1000 379.9390 0.3500
40.1400 380.3180 0.3500
40.1800 380.6970 0.3500
40.2200 381.0759 0.3500
40.2600 381.4549 0.3500
40.3000 381.8339 0.3500
40.3400 382.2129 0.3500
40.3800 382.5919 0.3500
40.4200 382.9709 0.3500
40.4600 383.3499 0.3500
40.5000 383.7289 0.3500
40.5400 384.1079 0.3500
40.5800 384.4869 0.3500
40.6200 384.8659 0.3400
40.6600 385.2449 0.3400
40.7000 385.6238 0.3400
40.7400 386.0028 0.3400
40.7800 386.3818 0.3400
40.8200 386.7608 0.3400
40.8600 387.1398 0.3400
40.9000 387.5188 0.3400
40.9400 387.8978 0.3400
40.9800 388.2768 0.3400
41.0200 388.6558 0.3400
41.0600 389.0348 0.3400
41.1000 389.4138 0.3400
41.1400 389.7928 0.3400
41.1800 390.1717 0.3400
41.2200 390.5507 0.3400
41.2600 390.9297 0.3400
41.3000 391.3087 0.3400
41.3400 391.6877 0.3400
41.3800 392.0667 0.3000
41.4200 392.4457 0.3000
41.4600 392.8247 0.3000
41.5000 393.2037 0.3000
41.5400 393.5827 0.3000
41.5800 393.9617 0.2900
41.6200 394.3407 0.2900
41.6600 394.7196 0.2900
41.7000 395.0986 0.2900
41.7400 395.4776 0.2900
41.7800 395.8566 0.2900
41.8200 396.2356 0.2800
41.8600 396.6146 0.2800
41.9000 396.9936 0.2800
41.9400 397.3726 0.2700
41.9800 397.7516 0.2700
42.0200 398.1306 0.2700
42.0600 398.5096 0.2700
42.1000 398.8885 0.2600
42.1400 399.2675 0.2600
42.1800 399.6465 0.2600
42.2200 400.0255 0.2600
42.2600 400.4045 0.2600
42.3000 400.7835 0.2600
42.3400 401.1625 0.2600
42.3800 401.5415 0.2600
42.4200 401.9205 0.2600
42.4600 402.2995 0.2600
42.5000 402.6785 0.2600
42.5400 403.0575 0.2600
42.5800 403.4364 0.2600
42.6200 403.8154 0.2500
42.6600 404.1944 0.2500
42.7000 404.5734 0.2500
42.7400 404.9524 0.2500
42.7800 405.3314 0.2300
42.8200 405.7104 0.2300
42.8600 406.0894 0.2300
42.9000 406.4684 0.2200
42.9400 406.8474 0.2200
42.9800 407.2264 0.2200
43.0200 407.6054 0.2200
43.0600 407.9843 0.2200
43.1000 408.3633 0.2200
43.1400 408.7423 0.2200
43.1800 409.1213 0.2200
43.2200 409.5003 0.2200
43.2600 409.8793 0.2100
43.3000 410.2583 0.2100
43.3400 410.6373 0.2100
43.3800 411.0163 0.2100
43.4200 411.3953 0.2100
43.4600 411.7743 0.2100
43.5000 412.1533 0.2100
43.5400 412.5322 0.2100
43.5800 412.9112 0.2100
43.6200 413.2902 0.2100
43.6600 413.6692 0.2100
43.7000 414.0482 0.2100
43.7400 414.4272 0.2000
43.7800 414.8062 0.2000
43.8200 415.1852 0.1900
43.8600 415.5642 0.1900
43.9000 415.9432 0.1800
43.9400 416.3222 0.1800
43.9800 416.7011 0.1800
44.0200 417.0801 0.1800
44.0600 417.4591 0.1800
44.1000 417.8381 0.1800
44.1400 418.2171 0.1700
44.1800 418.5961 0.1700
44.2200 418.9751 0.1700
44.2600 419.3541 0.1700
44.3000 419.7331 0.1400
44.3400 420.1121 0.1400
44.3800 420.4911 0.1400
44.4200 420.8701 0.1400
44.4600 421.2490 0.1300
44.5000 421.6280 0.1300
44.5400 422.0070 0.1300
44.5800 422.3860 0.1300
44.6200 422.7650 0.1300
44.6600 423.1440 0.1300
44.7000 423.5230 0.1100
44.7400 423.9020 0.1100
44.7800 424.2810 0.1100
44.8200 424.6600 0.1100
44.8600 425.0390 0.1100
44.9000 425.4180 0.1000
44.9400 425.7969 0.0900
44.9800 426.1759 0.0900
45.0200 426.5549 0.0900
45.0600 426.9339 0.0900
45.1000 427.3129 0.0900
45.1400 427.6919 0.0900
45.1800 428.0709 0.0900
45.2200 428.4499 0.0900
45.2600 428.8289 0.0900
45.3000 429.2079 0.0900
45.3400 429.5869 0.0900
45.3800 429.9659 0.0900
45.4200 430.3448 0.0900
45.4600 430.7238 0.0900
45.5000 431.1028 0.0900
45.5400 431.4818 0.0900
45.5800 431.8608 0.0900
45.6200 432.2398 0.0900
45.6600 432.6188 0.0900
45.7000 432.9978 0.0900
45.7400 433.3768 0.0900
45.7800 433.7558 0.0900
45.8200 434.1348 0.0900
45.8600 434.5137 0.0900
45.9000 434.8927 0.0900
45.9400 435.2717 0.0900
45.9800 435.6507 0.0900
46.0200 436.0297 0.0900
46.0600 436.4087 0.0900
46.1000 436.7877 0.0900
46.1400 437.1667 0.0900
46.1800 437.5457 0.0900
46.2200 437.9247 0.0900
46.2600 438.3037 0.0900
46.3000 438.6827 0.0900
46.3400 439.0616 0.0900
46.3800 439.4406 0.0900
46.4200 439.8196 0.0900
46.4600 440.1986 0.0900
46.5000 440.5776 0.0900
46.5400 440.9566 0.0900
46.5800 441.3356 0.0900
46.6200 441.7146 0.0900
46.6600 442.0936 0.0900
46.7000 442.4726 0.0900
46.7400 442.8516 0.0900
46.7800 443.2306 0.0900
46.8200 443.6095 0.0900
46.8600 443.9885 0.0900
46.9000 444.3675 0.0900
46.9400 444.7465 0.0900
46.9800 445.1255 0.0900
47.0200 445.5045 0.0900
47.0600 445.8835 0.0800
47.1000 446.2625 0.0800
47.1400 446.6415 0.0800
47.1800 447.0205 0.0800
47.2200 447.3995 0.0800
47.2600 447.7785 0.0800
47.3000 448.1574 0.0800
47.3400 448.5364 0.0800
47.3800 448.9154 0.0800
47.4200 449.2944 0.0800
47.4600 449.6734 0.0800
47.5000 450.0524 0.0300
47.5400 450.4314 0.0300
47.5800 450.8104 0.0300
47.6200 451.1894 0.0300
47.6600 451.5684 0.0300
47.7000 451.9474 0.0300
47.7400 452.3263 0.0300
47.7800 452.7053 0.0300
47.8200 453.0843 0.0300
47.8600 453.4633 0.0300
47.9000 453.8423 0.0300
47.9400 454.2213 0.0300
47.9800 454.6003 0.0300
48.0200 454.9793 0.0300
48.0600 455.3583 0.0300
48.1000 455.7373 0.0300
48.1400 456.1163 0.0200
48.1800 456.4953 0.0200
48.2200 456.8742 0.0100
48.2600 457.2532 0.0100
48.3000 457.6322 0.0000
48.3400 458.0112 0.0000
48.3800 458.3902 0.0000
48.4200 458.7692 0.0000
48.4600 459.1482 0.0000
48.5000 459.5272 0.0000
